model,cancer,ECE_mean,ECE_std,MCE_mean,MCE_std,area_mean,area_std,n_folds
AMIL-concat,BLCA,0.21202301126455353,0.05286711509834842,0.5247362925073574,0.04904445056150495,0.23835421107807625,0.05061377446299913,5
AMIL-concat,BRCA,0.1487184712599641,0.029889947243768394,0.5990124275764173,0.10630221263519883,0.21981022292966354,0.05541113849364952,5
AMIL-concat,GBMLGG,0.20989523476700628,0.04954839140338186,0.4780697992263496,0.14737994135946725,0.2218659874627195,0.06036125275829686,5
AMIL-concat,LUAD,0.1927662322231863,0.038258394742889744,0.6345142652645268,0.18117747251330918,0.24346908694642008,0.0792054285865539,5
AMIL-concat,UCEC,0.08597315501997348,0.010869135606418955,0.22311680968911807,0.025867494166524643,0.02219523337496323,0.009721477026697267,5
AMIL-sig,BLCA,0.1194574553230368,0.022115392759596623,0.2623530977477381,0.03296141449335227,0.00316805646013534,0.0004541674550996458,5
AMIL-sig,BRCA,0.07665089546251386,0.008515138174482375,0.17609842095393732,0.04030327761723296,0.004730257497915125,0.0013730291143741026,5
AMIL-sig,GBMLGG,0.12935737001249037,0.02710453827520364,0.2561937424572593,0.047272183262091934,0.06548013633601327,0.029578515428731123,5
AMIL-sig,LUAD,0.1278750841721657,0.02993660364599018,0.3277207404637885,0.09490258892462039,0.0065101192835652745,0.002250201889138571,5
AMIL-sig,UCEC,0.08072806228336607,0.012448301975780214,0.16516370278703868,0.018346639443747013,0.001945915151151003,0.0005819191175667882,5
Cox-PH,BRCA,0.07847527635325184,,0.14472389137071084,,0.007610844858497596,,1
MCAT,BLCA,0.2533885677374207,0.08982396490545408,0.5647755101082576,0.21863390011117562,0.2134977669584636,0.16373057677904204,5
MCAT,BRCA,0.2090981023695028,0.030546819873246787,0.6759807611688192,0.09741429992174458,0.2796844159528484,0.029207888813485672,5
MCAT,GBMLGG,0.2472580131605655,0.018948536459118627,0.5685302673005652,0.06623705478197252,0.28361222631089994,0.05223529581579793,5
MCAT,LUAD,0.3389444641958369,0.025260445982433884,0.7904944958939906,0.07104886972056942,0.3420993780920075,0.03497385557095332,5
MCAT,UCEC,0.0845960789746126,0.019494041465325747,0.26152328668549496,0.06628686219091152,0.02561251738931019,0.014373984488045131,5
MMP,BRCA,0.10384012497338561,0.04475409200402761,0.2907057920966249,0.16043440943653772,0.0686988305616956,0.07292227022009962,5
SNN,BLCA,0.12717915589241574,0.022784800551506956,0.30529950004925605,0.04426243722891038,0.01405511160506313,0.004194517151143187,5
SNN,BRCA,0.0624448397140589,0.007844896087389348,0.1306439262446849,0.018492843129059165,4.0968578984523504e-05,6.268816505203078e-05,5
SNN,GBMLGG,0.11894318976556358,0.03733043210624281,0.24910417687149122,0.06300455499186322,0.0007132247039656991,0.00027319160854287673,5
SNN,LUAD,0.13742745913812118,0.011540798367435861,0.29102915166406973,0.06337426151905853,0.0025181257494282182,0.0008298133167527743,5
SNN,UCEC,0.059300224809980505,0.016731243404977246,0.18584854492281835,0.03965777014077173,0.006806549614637625,0.0024430244403026258,5
SurvPath,BRCA,0.12484217264100747,0.04060137747373993,0.3565045894731237,0.09561093724919283,0.07957908852404119,0.024872887034735943,5
