model,analysis,horizon,horizon_t,fold,p_value,metric_value,method
SurvPath,1-calibration,1yr,12.0,0,0.22378944389342825,,original
SurvPath,1-calibration,1yr,12.0,1,0.09668208751748697,,original
SurvPath,1-calibration,1yr,12.0,2,0.23207443460038113,,original
SurvPath,1-calibration,1yr,12.0,3,0.4324489207683342,,original
SurvPath,1-calibration,1yr,12.0,4,0.20358837449147738,,original
SurvPath,1-calibration,3yr,36.0,0,0.022828667708774453,,original
SurvPath,1-calibration,3yr,36.0,1,0.003395632945739191,,original
SurvPath,1-calibration,3yr,36.0,2,0.0002749433211949315,,original
SurvPath,1-calibration,3yr,36.0,3,0.005950719125765724,,original
SurvPath,1-calibration,3yr,36.0,4,0.018199420018846224,,original
SurvPath,1-calibration,5yr,60.0,0,3.2244083059129736e-07,,original
SurvPath,1-calibration,5yr,60.0,1,0.00010193548949866127,,original
SurvPath,1-calibration,5yr,60.0,2,1.9184266248917226e-06,,original
SurvPath,1-calibration,5yr,60.0,3,1.1262533949896181e-07,,original
SurvPath,1-calibration,5yr,60.0,4,2.1964238205995912e-08,,original
SurvPath,1-calibration,median,41.55716171264648,0,0.04784523626043691,,original
SurvPath,1-calibration,median,41.55716171264648,1,0.008503920680109966,,original
SurvPath,1-calibration,median,41.55716171264648,2,3.7072861873710394e-06,,original
SurvPath,1-calibration,median,41.55716171264648,3,0.00022255408272531252,,original
SurvPath,1-calibration,median,41.55716171264648,4,0.0003202705606482059,,original
SurvPath,MACE,1yr,12.0,0,,0.04801313460842981,original
SurvPath,MACE,1yr,12.0,1,,0.06708289425257756,original
SurvPath,MACE,1yr,12.0,2,,0.05697087833092989,original
SurvPath,MACE,1yr,12.0,3,,0.02855508918384823,original
SurvPath,MACE,1yr,12.0,4,,0.05926582385207624,original
SurvPath,MACE,3yr,36.0,0,,0.0950941245291533,original
SurvPath,MACE,3yr,36.0,1,,0.11949212971820325,original
SurvPath,MACE,3yr,36.0,2,,0.15973516732363036,original
SurvPath,MACE,3yr,36.0,3,,0.10464468115730097,original
SurvPath,MACE,3yr,36.0,4,,0.10820131865706042,original
SurvPath,MACE,5yr,60.0,0,,0.1967722662664129,original
SurvPath,MACE,5yr,60.0,1,,0.16159345967071095,original
