n_events,miscal_delta,power,critical_value,n_replicates,n_null_calibration,alpha
15,0.0,0.068,9.923876676635247,2000,5000,0.05
15,0.05,0.071,9.923876676635247,2000,5000,0.05
15,0.1,0.1405,9.923876676635247,2000,5000,0.05
15,0.15,0.2405,9.923876676635247,2000,5000,0.05
15,0.2,0.404,9.923876676635247,2000,5000,0.05
15,0.25,0.5805,9.923876676635247,2000,5000,0.05
15,0.3,0.7775,9.923876676635247,2000,5000,0.05
30,0.0,0.0535,11.128671306324593,2000,5000,0.05
30,0.05,0.0855,11.128671306324593,2000,5000,0.05
30,0.1,0.1485,11.128671306324593,2000,5000,0.05
30,0.15,0.2955,11.128671306324593,2000,5000,0.05
30,0.2,0.5225,11.128671306324593,2000,5000,0.05
30,0.25,0.7615,11.128671306324593,2000,5000,0.05
30,0.3,0.9275,11.128671306324593,2000,5000,0.05
37,0.0,0.056,11.520983606719732,2000,5000,0.05
37,0.05,0.0685,11.520983606719732,2000,5000,0.05
37,0.1,0.155,11.520983606719732,2000,5000,0.05
37,0.15,0.343,11.520983606719732,2000,5000,0.05
37,0.2,0.589,11.520983606719732,2000,5000,0.05
37,0.25,0.8145,11.520983606719732,2000,5000,0.05
37,0.3,0.956,11.520983606719732,2000,5000,0.05
