model,fold,method,onecal_p,ibs,ci
SurvPath,0,Original,0.01774829316346893,0.1582287991163929,0.5576419213973799
SurvPath,0,Platt,0.11946258346402838,0.18370194341341228,0.5576419213973799
SurvPath,0,Isotonic,5.249185406008827e-06,0.17381664662143484,0.5576419213973799
SurvPath,1,Original,0.033413225270135904,0.2981860080689643,0.7253756260434057
SurvPath,1,Platt,0.31047095146098524,0.2721037703283731,0.7253756260434057
SurvPath,1,Isotonic,0.4292586934668031,0.25119413861182915,0.7253756260434057
SurvPath,2,Original,4.44850966851984e-06,0.416988952824196,0.700671704450042
SurvPath,2,Platt,0.005005940976383072,0.29640047990136603,0.700671704450042
SurvPath,2,Isotonic,6.286889140372232e-05,0.45578339765994214,0.700671704450042
SurvPath,3,Original,0.0001748617285955989,0.12202996363020549,0.6405094494658997
SurvPath,3,Platt,0.14262905827373562,0.14521396967921935,0.6405094494658997
SurvPath,3,Isotonic,0.0006571699143524956,0.13634193957798024,0.6405094494658997
SurvPath,4,Original,0.0014480489470037883,0.11912805410633732,0.7189685314685315
SurvPath,4,Platt,0.1950670655950918,0.1825153848369932,0.7189685314685315
SurvPath,4,Isotonic,3.8314229566793756e-10,0.1584044860126654,0.7189685314685315
MCAT,0,Original,0.0,0.13316473481311064,0.7519650655021834
MCAT,0,Platt,0.3042250409243239,0.17305825361572338,0.7519650655021834
MCAT,0,Isotonic,0.003568533593494516,0.15065413260623864,0.7519650655021834
MCAT,1,Original,9.897844737150052e-07,0.5510844336905877,0.6030884808013356
MCAT,1,Platt,0.26971235867317733,0.2674638957879455,0.6030884808013356
MCAT,1,Isotonic,0.47104973016119256,0.32091141287503105,0.6030884808013356
MCAT,2,Original,0.0,0.6295030701215115,0.6007556675062973
MCAT,2,Platt,0.04898743087986024,0.33867945480777756,0.6007556675062973
MCAT,2,Isotonic,0.029125168674001944,0.5878898246215628,0.6007556675062973
MCAT,3,Original,0.0,0.11595754709142324,0.6544782251437962
MCAT,3,Platt,1.9970530673596443e-08,0.148986982090153,0.6544782251437962
MCAT,3,Isotonic,3.4542755766864275e-08,0.14224033237814732,0.6544782251437962
MCAT,4,Original,2.6645352591003757e-15,0.12632762463048344,0.6149475524475524
MCAT,4,Platt,0.09407610236779063,0.1681432304789741,0.6149475524475524
MCAT,4,Isotonic,0.0,0.1492434225406661,0.6149475524475524
MMP,0,Original,0.23321404362093023,0.10761632797043345,0.5409395973154363
MMP,0,Platt,0.05122757703232028,0.09166960580066522,0.5409395973154363
MMP,0,Isotonic,0.17836841672901194,0.09171110970834569,0.5409395973154363
MMP,1,Original,0.036675943705326786,0.13082725307164586,0.5845410628019324
MMP,1,Platt,0.4862234382691144,0.1171807894783327,0.5845410628019324
MMP,1,Isotonic,0.0,0.11583530972539002,0.5845410628019324
MMP,2,Original,0.012055584939680286,0.1634107274971831,0.7194379391100703
MMP,2,Platt,0.00028061729033679317,0.2201165764208345,0.7194379391100703
MMP,2,Isotonic,0.0001611420199633118,0.19050378805610213,0.7194379391100703
MMP,3,Original,0.00020233092604038383,0.07898345928872201,0.4912472647702407
MMP,3,Platt,0.02329868827702941,0.07818386500905661,0.4912472647702407
MMP,3,Isotonic,0.002089655672056989,0.07675809467186184,0.4912472647702407
MMP,4,Original,2.906072049668751e-09,3.812539725512965,0.6557722720084344
MMP,4,Platt,9.523057531612977e-05,1.563280828185115,0.6557722720084344
MMP,4,Isotonic,0.013516654822631202,1.9018360178783764,0.6557722720084344
